type,ins,i30,i25,i14,i13,i12,i6,i5,i4 ,i3,i2,ibin,ssel1,ssel0,lsel2,lsel1,lsel0,brsel3,brsel2,brsel1,brsel0,as4,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,obin
,bgeu,0,0,1,1,1,1,1,0,0,0,0011111000,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0000001100110000100
,,1,0,1,1,1,1,1,0,0,0,1011111000,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0000001100110000100
,,0,1,1,1,1,1,1,0,0,0,0111111000,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0000001100110000100
,,1,1,1,1,1,1,1,0,0,0,1111111000,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0000001100110000100
JUMP,jalr,0,0,0,0,0,1,1,0,0,1,0000011001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0000010000000010000
,,1,0,0,0,0,1,1,0,0,1,1000011001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0000010000000010000
,,0,1,0,0,0,1,1,0,0,1,0100011001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0000010000000010000
,,1,1,0,0,0,1,1,0,0,1,1100011001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0000010000000010000
,jal,0,0,0,0,0,1,1,0,1,1,0000011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,0,0,0,1,1,0,1,1,0100011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,0,0,0,1,1,1,0,1,1,0000111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,0,0,1,1,1,0,1,1,0100111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,0,0,1,0,1,1,0,1,1,0001011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,0,1,0,1,1,0,1,1,0101011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,0,0,1,1,1,1,0,1,1,0001111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,0,1,1,1,1,0,1,1,0101111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,0,1,0,0,1,1,0,1,1,0010011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,1,0,0,1,1,0,1,1,0110011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,0,1,0,1,1,1,0,1,1,0010111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,1,0,1,1,1,0,1,1,0110111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,0,1,1,0,1,1,0,1,1,0011011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,1,1,0,1,1,0,1,1,0111011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,0,1,1,1,1,1,0,1,1,0011111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,0,1,1,1,1,1,1,0,1,1,0111111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,0,0,0,0,1,1,0,1,1,1000011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,0,0,0,1,1,0,1,1,1100011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,0,0,0,1,1,1,0,1,1,1000111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,0,0,1,1,1,0,1,1,1100111011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,0,0,1,0,1,1,0,1,1,1001011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
,,1,1,0,1,0,1,1,0,1,1,1101011011,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0000010010000010110
